FECHA,CAUDAL_PREDICT
2019-04-06 04:30:00,1221.4435
2019-04-06 05:00:00,1222.0209
2019-04-06 05:30:00,1222.5634
2019-04-06 06:00:00,1223.0791
2019-04-06 06:30:00,1223.5609
2019-04-06 07:00:00,1223.999
2019-04-06 07:30:00,1182.3022
2019-04-06 08:00:00,1180.7231
2019-04-06 08:30:00,1181.5813
2019-04-06 09:00:00,1180.1033
2019-04-06 09:30:00,1180.5906
2019-04-06 10:00:00,1181.258
2019-04-06 10:30:00,1181.4661
2019-04-06 11:00:00,1181.4639
2019-04-06 11:30:00,1181.338
2019-04-06 12:00:00,1181.1687
2019-04-06 12:30:00,1223.3193
2019-04-06 13:00:00,1225.1243
2019-04-06 13:30:00,1224.2349
2019-04-06 14:00:00,1225.8428
2019-04-06 14:30:00,1141.9752
2019-04-06 15:00:00,1136.6461
2019-04-06 15:30:00,1137.6296
2019-04-06 16:00:00,1134.4751
2019-04-06 16:30:00,1018.3827
2019-04-06 17:00:00,1007.50574
2019-04-06 17:30:00,1009.34204
2019-04-06 18:00:00,1006.1326
2019-04-06 18:30:00,1006.25836
2019-04-06 19:00:00,1007.1828
2019-04-06 19:30:00,1007.2537
2019-04-06 20:00:00,1006.66455
2019-04-06 20:30:00,1005.6417
2019-04-06 21:00:00,1004.40106
2019-04-06 21:30:00,1043.4235
2019-04-06 22:00:00,1047.2439
2019-04-06 22:30:00,1127.4393
2019-04-06 23:00:00,1135.3419
2019-04-06 23:30:00,966.0719
2019-04-07 00:00:00,945.92224
2019-04-07 00:30:00,946.6556
2019-04-07 01:00:00,1104.3622
2019-04-07 01:30:00,1123.173
2019-04-07 02:00:00,1120.7595
2019-04-07 02:30:00,1125.5779
2019-04-07 03:00:00,1124.6505
2019-04-07 03:30:00,1081.0425
2019-04-07 04:00:00,1075.9792
2019-04-07 04:30:00,1076.3527
2019-04-07 05:00:00,1075.3795
2019-04-07 05:30:00,1076.0828
2019-04-07 06:00:00,1077.098
2019-04-07 06:30:00,1147.46
2019-04-07 07:00:00,1153.5559
2019-04-07 07:30:00,1152.1627
2019-04-07 08:00:00,1154.5836
2019-04-07 08:30:00,1154.3749
2019-04-07 09:00:00,1153.7357
2019-04-07 09:30:00,1153.7775
2019-04-07 10:00:00,1154.1586
2019-04-07 10:30:00,1032.8081
2019-04-07 11:00:00,1021.742
2019-04-07 11:30:00,1064.5604
2019-04-07 12:00:00,1065.696
2019-04-07 12:30:00,1065.7877
2019-04-07 13:00:00,1068.6527
2019-04-07 13:30:00,1001.82196
2019-04-07 14:00:00,993.19495
2019-04-07 14:30:00,877.90704
2019-04-07 15:00:00,857.10864
2019-04-07 15:30:00,857.54565
2019-04-07 16:00:00,856.4218
2019-04-07 16:30:00,857.11127
2019-04-07 17:00:00,858.1735
2019-04-07 17:30:00,858.33417
2019-04-07 18:00:00,857.6183
2019-04-07 18:30:00,856.3151
2019-04-07 19:00:00,854.708
2019-04-07 19:30:00,885.0113
2019-04-07 20:00:00,889.48956
2019-04-07 20:30:00,849.8539
2019-04-07 21:00:00,841.0337
2019-04-07 21:30:00,839.55005
2019-04-07 22:00:00,837.70325
2019-04-07 22:30:00,836.5982
2019-04-07 23:00:00,835.9748
2019-04-07 23:30:00,835.41003
2019-04-08 00:00:00,834.7978
2019-04-08 00:30:00,834.12854
2019-04-08 01:00:00,833.42993
2019-04-08 01:30:00,832.7449
2019-04-08 02:00:00,832.10474
2019-04-08 02:30:00,831.52234
2019-04-08 03:00:00,830.99646
2019-04-08 03:30:00,830.5219
2019-04-08 04:00:00,830.09204
2019-04-08 04:30:00,829.703
2019-04-08 05:00:00,829.35254
2019-04-08 05:30:00,829.0387
2019-04-08 06:00:00,828.7585
2019-04-08 06:30:00,828.50903
2019-04-08 07:00:00,828.2869
2019-04-08 07:30:00,865.98444
2019-04-08 08:00:00,873.2128
2019-04-08 08:30:00,872.7361
2019-04-08 09:00:00,872.72015
2019-04-08 09:30:00,872.2607
2019-04-08 10:00:00,871.64417
2019-04-08 10:30:00,871.2666
2019-04-08 11:00:00,871.155
2019-04-08 11:30:00,833.5416
2019-04-08 12:00:00,826.39185
2019-04-08 12:30:00,826.7905
2019-04-08 13:00:00,826.8732
2019-04-08 13:30:00,827.44556
2019-04-08 14:00:00,828.188
2019-04-08 14:30:00,828.7169
2019-04-08 15:00:00,828.99005
2019-04-08 15:30:00,797.9155
2019-04-08 16:00:00,791.2185
2019-04-08 16:30:00,791.03235
2019-04-08 17:00:00,790.8238
2019-04-08 17:30:00,790.966
2019-04-08 18:00:00,791.2289
2019-04-08 18:30:00,791.3348
2019-04-08 19:00:00,791.24585
2019-04-08 19:30:00,972.7592
2019-04-08 20:00:00,1004.77954
2019-04-08 20:30:00,1000.536
2019-04-08 21:00:00,1001.30225
2019-04-08 21:30:00,999.5174
2019-04-08 22:00:00,996.8017
2019-04-08 22:30:00,929.5239
2019-04-08 23:00:00,919.79663
2019-04-08 23:30:00,921.3777
