AÑO,MES,DIA,FECHA,HORA,KW-H
2015,4,martes,14,17,2400
2015,4,martes,14,18,2300
2015,4,martes,14,19,3000
2015,4,martes,14,20,3300
2015,4,martes,14,21,3500
2015,4,martes,14,22,3500
2015,4,martes,14,23,3500
2015,4,miercoles,15,0,3500
2015,4,miercoles,15,1,3500
2015,4,miercoles,15,2,3500
2015,4,miercoles,15,3,3500
2015,4,miercoles,15,4,3500
2015,4,miercoles,15,5,3500
2015,4,miercoles,15,6,3500
2015,4,miercoles,15,7,3500
2015,4,miercoles,15,8,3500
2015,4,miercoles,15,9,3600
2015,4,miercoles,15,10,3700
2015,4,miercoles,15,11,3700
2015,4,miercoles,15,12,2600
2015,4,miercoles,15,13,2600
2015,4,miercoles,15,14,2600
2015,4,miercoles,15,15,2600
2015,4,miercoles,15,16,2600
2015,4,miercoles,15,17,1900
2015,4,miercoles,15,18,1900
2015,4,miercoles,15,19,2500
2015,4,miercoles,15,20,2500
2015,4,miercoles,15,21,2500
2015,4,miercoles,15,22,1900
2015,4,miercoles,15,23,1700
2015,4,jueves,16,0,1900
2015,4,jueves,16,1,1700
2015,4,jueves,16,2,1700
2015,4,jueves,16,3,1700
2015,4,jueves,16,4,2000
2015,4,jueves,16,5,2000
2015,4,jueves,16,6,3000
2015,4,jueves,16,7,3400
2015,4,jueves,16,8,3500
2015,4,jueves,16,9,2600
2015,4,jueves,16,10,2500
2015,4,jueves,16,11,2500
2015,4,jueves,16,12,2400
2015,4,jueves,16,13,2400
2015,4,jueves,16,14,2000
2015,4,jueves,16,15,2000
2015,4,jueves,16,16,1700
2015,4,jueves,16,17,1700
2015,4,jueves,16,18,1800
2015,4,jueves,16,19,2400
2015,4,jueves,16,20,2400
2015,4,jueves,16,21,2500
2015,4,jueves,16,22,2500
2015,4,jueves,16,23,1700
2015,4,viernes,17,0,1600
2015,4,viernes,17,1,1600
2015,4,viernes,17,2,1800
2015,4,viernes,17,3,2300
2015,4,viernes,17,4,2300
2015,4,viernes,17,5,2300
2015,4,viernes,17,6,3400
2015,4,viernes,17,7,3400
2015,4,viernes,17,8,3400
2015,4,viernes,17,9,2000
2015,4,viernes,17,10,2000
2015,4,viernes,17,11,2000
2015,4,viernes,17,12,2100
2015,4,viernes,17,13,2300
2015,4,viernes,17,14,2300
2015,4,viernes,17,15,2200
2015,4,viernes,17,16,2200
2015,4,viernes,17,17,2000
2015,4,viernes,17,18,1700
2015,4,viernes,17,19,2400
2015,4,viernes,17,20,3200
2015,4,viernes,17,21,3200
2015,4,viernes,17,22,2400
2015,4,viernes,17,23,2400
2015,4,sábado,18,0,2400
2015,4,sábado,18,1,2400
2015,4,sábado,18,2,2400
2015,4,sábado,18,3,2400
2015,4,sábado,18,4,2400
2015,4,sábado,18,5,2400
2015,4,sábado,18,6,3000
2015,4,sábado,18,7,3000
2015,4,sábado,18,8,3000
2015,4,sábado,18,9,2800
2015,4,sábado,18,10,2800
2015,4,sábado,18,11,2700
2015,4,sábado,18,12,2600
2015,4,sábado,18,13,2600
2015,4,sábado,18,14,2600
2015,4,sábado,18,15,2600
2015,4,sábado,18,16,2400
2015,4,sábado,18,17,1600
2015,4,sábado,18,18,1600
2015,4,sábado,18,19,2200
2015,4,sábado,18,20,2200
2015,4,sábado,18,21,3400
2015,4,sábado,18,22,3600
2015,4,sábado,18,23,3600
2015,4,domingo,19,0,3600
2015,4,domingo,19,1,3600
2015,4,domingo,19,2,3600
2015,4,domingo,19,3,3600
2015,4,domingo,19,4,3600
2015,4,domingo,19,5,3600
2015,4,domingo,19,6,4400
2015,4,domingo,19,7,4400
2015,4,domingo,19,8,4100
2015,4,domingo,19,9,4000
2015,4,domingo,19,10,3600
2015,4,domingo,19,11,3600
2015,4,domingo,19,12,3610
2015,4,domingo,19,13,3190
2015,4,domingo,19,14,2600
2015,4,domingo,19,15,2600
2015,4,domingo,19,16,2700
2015,4,domingo,19,17,2200
2015,4,domingo,19,18,2200
2015,4,domingo,19,19,2600
2015,4,domingo,19,20,2600
2015,4,domingo,19,21,2700
2015,4,domingo,19,22,2600
2015,4,domingo,19,23,2600
2015,4,lunes,20,0,2600
2015,4,lunes,20,1,2600
2015,4,lunes,20,2,2600
2015,4,lunes,20,3,2200
2015,4,lunes,20,4,2200
2015,4,lunes,20,5,2200
2015,4,lunes,20,6,2200
2015,4,lunes,20,7,1800
2015,4,lunes,20,8,1800
2015,4,lunes,20,9,1800
2015,4,lunes,20,10,1800
2015,4,lunes,20,11,1800
2015,4,lunes,20,12,1800
2015,4,lunes,20,13,1800
2015,4,lunes,20,14,1800
2015,4,lunes,20,15,1800
2015,4,lunes,20,16,1700
2015,4,lunes,20,17,1700
2015,4,lunes,20,18,1700
2015,4,lunes,20,19,3000
2015,4,lunes,20,20,3000
2015,4,lunes,20,21,3000
2015,4,lunes,20,22,2400
2015,4,lunes,20,23,2000
2015,4,martes,21,0,1600
2015,4,martes,21,1,1600
2015,4,martes,21,2,1600
2015,4,martes,21,3,1600
2015,4,martes,21,4,1600
2015,4,martes,21,5,1600
2015,4,martes,21,6,1600
2015,4,martes,21,7,1700
2015,4,martes,21,8,1800
2015,4,martes,21,9,1800
2015,4,martes,21,10,1800
2015,4,martes,21,11,2000
2015,4,martes,21,12,2000
2015,4,martes,21,13,2100
2015,4,martes,21,14,2100
2015,4,martes,21,15,2100
2015,4,martes,21,16,2800
2015,4,martes,21,17,3000
2015,4,martes,21,18,3000
2015,4,martes,21,19,3200
2015,4,martes,21,20,3200
2015,4,martes,21,21,3200
2015,4,martes,21,22,2000
2015,4,martes,21,23,2000
2015,4,miercoles,22,0,2000
2015,4,miercoles,22,1,2000
2015,4,miercoles,22,2,2600
2015,4,miercoles,22,3,2600
2015,4,miercoles,22,4,2600
2015,4,miercoles,22,5,2600
2015,4,miercoles,22,6,3200
2015,4,miercoles,22,7,3200
2015,4,miercoles,22,8,3200
2015,4,miercoles,22,9,3200
2015,4,miercoles,22,10,3200
2015,4,miercoles,22,11,3000
2015,4,miercoles,22,12,2700
2015,4,miercoles,22,13,2600
2015,4,miercoles,22,14,2600
2015,4,miercoles,22,15,2600
2015,4,miercoles,22,16,2600
2015,4,miercoles,22,17,3400
2015,4,miercoles,22,18,3800
2015,4,miercoles,22,19,4400
2015,4,miercoles,22,20,4400
2015,4,miercoles,22,21,4400
2015,4,miercoles,22,22,3200
2015,4,miercoles,22,23,2400
2015,4,jueves,23,0,2400
2015,4,jueves,23,1,2400
2015,4,jueves,23,2,2400
2015,4,jueves,23,3,2400
2015,4,jueves,23,4,2400
2015,4,jueves,23,5,2400
2015,4,jueves,23,6,3700
2015,4,jueves,23,7,3700
2015,4,jueves,23,8,3700
2015,4,jueves,23,9,3700
2015,4,jueves,23,10,3700
2015,4,jueves,23,11,3700
2015,4,jueves,23,12,3900
2015,4,jueves,23,13,3900
2015,4,jueves,23,14,4100
2015,4,jueves,23,15,4100
2015,4,jueves,23,16,4100
2015,4,jueves,23,17,4000
2015,4,jueves,23,18,4000
2015,4,jueves,23,19,4400
2015,4,jueves,23,20,4400
2015,4,jueves,23,21,4400
2015,4,jueves,23,22,4400
2015,4,jueves,23,23,4000
2015,4,viernes,24,0,3700
2015,4,viernes,24,1,3600
2015,4,viernes,24,2,3600
2015,4,viernes,24,3,3600
2015,4,viernes,24,4,3600
2015,4,viernes,24,5,4200
2015,4,viernes,24,6,4200
2015,4,viernes,24,7,4200
2015,4,viernes,24,8,4200
2015,4,viernes,24,9,4000
2015,4,viernes,24,10,4000
2015,4,viernes,24,11,3300
2015,4,viernes,24,12,3300
2015,4,viernes,24,13,3300
2015,4,viernes,24,14,3300
2015,4,viernes,24,15,3300
2015,4,viernes,24,16,3900
2015,4,viernes,24,17,4000
2015,4,viernes,24,18,4000
2015,4,viernes,24,19,4400
2015,4,viernes,24,20,4400
2015,4,viernes,24,21,4400
2015,4,viernes,24,22,4400
2015,4,viernes,24,23,4200
2015,4,sábado,25,0,4200
2015,4,sábado,25,1,4200
2015,4,sábado,25,2,4200
2015,4,sábado,25,3,4200
2015,4,sábado,25,4,4200
2015,4,sábado,25,5,4200
2015,4,sábado,25,6,3800
2015,4,sábado,25,7,3600
2015,4,sábado,25,8,3200
2015,4,sábado,25,9,3200
2015,4,sábado,25,10,3400
2015,4,sábado,25,11,3400
2015,4,sábado,25,12,4000
2015,4,sábado,25,13,4000
2015,4,sábado,25,14,4000
2015,4,sábado,25,15,4000
2015,4,sábado,25,16,3500
2015,4,sábado,25,17,3500
2015,4,sábado,25,18,3500
2015,4,sábado,25,19,4400
2015,4,sábado,25,20,4400
2015,4,sábado,25,21,4400
2015,4,sábado,25,22,4200
2015,4,sábado,25,23,4000
2015,4,domingo,26,0,4000
2015,4,domingo,26,1,4000
2015,4,domingo,26,2,4000
2015,4,domingo,26,3,4000
2015,4,domingo,26,4,4000
2015,4,domingo,26,5,3600
2015,4,domingo,26,6,3700
2015,4,domingo,26,7,4200
2015,4,domingo,26,8,4600
2015,4,domingo,26,9,4600
2015,4,domingo,26,10,4600
2015,4,domingo,26,11,4400
2015,4,domingo,26,12,4300
2015,4,domingo,26,13,4300
2015,4,domingo,26,14,4300
2015,4,domingo,26,15,4300
2015,4,domingo,26,16,4500
2015,4,domingo,26,17,4500
2015,4,domingo,26,18,4500
2015,4,domingo,26,19,4500
2015,4,domingo,26,20,4500
2015,4,domingo,26,21,4500
2015,4,domingo,26,22,4500
2015,4,domingo,26,23,4600
2015,4,lunes,27,0,4700
2015,4,lunes,27,1,4700
2015,4,lunes,27,2,4700
2015,4,lunes,27,3,4000
2015,4,lunes,27,4,3000
2015,4,lunes,27,5,3600
2015,4,lunes,27,6,3600
2015,4,lunes,27,7,3600
2015,4,lunes,27,8,4600
2015,4,lunes,27,9,4600
2015,4,lunes,27,10,4600
2015,4,lunes,27,11,4500
2015,4,lunes,27,12,4300
2015,4,lunes,27,13,4300
2015,4,lunes,27,14,4300
2015,4,lunes,27,15,4300
2015,4,lunes,27,16,4400
2015,4,lunes,27,17,4500
2015,4,lunes,27,18,4500
2015,4,lunes,27,19,4500
2015,4,lunes,27,20,4500
2015,4,lunes,27,21,4500
2015,4,lunes,27,22,4500
2015,4,lunes,27,23,4300
2015,4,martes,28,0,4200
2015,4,martes,28,1,3900
2015,4,martes,28,2,3900
2015,4,martes,28,3,3800
2015,4,martes,28,4,3900
2015,4,martes,28,5,4000
2015,4,martes,28,6,4200
2015,4,martes,28,7,4300
2015,4,martes,28,8,4200
2015,4,martes,28,9,4200
2015,4,martes,28,10,4200
2015,4,martes,28,11,4200
2015,4,martes,28,12,4200
2015,4,martes,28,13,4200
2015,4,martes,28,14,4200
2015,4,martes,28,15,4200
2015,4,martes,28,16,3900
2015,4,martes,28,17,4200
2015,4,martes,28,18,4200
2015,4,martes,28,19,4200
2015,4,martes,28,20,4200
2015,4,martes,28,21,4200
2015,4,martes,28,22,4200
2015,4,martes,28,23,4200
