AÑO,MES,DIA,FECHA,HORA,KW-H
2015,1,jueves,8,5,2300
2015,1,jueves,8,6,3200
2015,1,jueves,8,7,3300
2015,1,jueves,8,8,3800
2015,1,jueves,8,9,4100
2015,1,jueves,8,10,1800
2015,1,jueves,8,11,1800
2015,1,jueves,8,12,1800
2015,1,jueves,8,13,1900
2015,1,jueves,8,14,2400
2015,1,jueves,8,15,3300
2015,1,jueves,8,16,3100
2015,1,jueves,8,17,2400
2015,1,jueves,8,18,2400
2015,1,jueves,8,19,3200
2015,1,jueves,8,20,3200
2015,1,jueves,8,21,3200
2015,1,jueves,8,22,2200
2015,1,jueves,8,23,2200
2015,1,viernes,9,0,2200
2015,1,viernes,9,1,2200
2015,1,viernes,9,2,2200
2015,1,viernes,9,3,2200
2015,1,viernes,9,4,2200
2015,1,viernes,9,5,2200
2015,1,viernes,9,6,2600
2015,1,viernes,9,7,2800
2015,1,viernes,9,8,2700
2015,1,viernes,9,9,2000
2015,1,viernes,9,10,2000
2015,1,viernes,9,11,2000
2015,1,viernes,9,12,3500
2015,1,viernes,9,13,3800
2015,1,viernes,9,14,3800
2015,1,viernes,9,15,4000
2015,1,viernes,9,16,3800
2015,1,viernes,9,17,3800
2015,1,viernes,9,18,3800
2015,1,viernes,9,19,4200
2015,1,viernes,9,20,4200
2015,1,viernes,9,21,4200
2015,1,viernes,9,22,4200
2015,1,viernes,9,23,4200
2015,1,sábado,10,0,4200
2015,1,sábado,10,1,2500
2015,1,sábado,10,2,2500
2015,1,sábado,10,3,2500
2015,1,sábado,10,4,2500
2015,1,sábado,10,5,2500
2015,1,sábado,10,6,2500
2015,1,sábado,10,7,2500
2015,1,sábado,10,8,2500
2015,1,sábado,10,9,2100
2015,1,sábado,10,10,2100
2015,1,sábado,10,11,2100
2015,1,sábado,10,12,2200
2015,1,sábado,10,13,3000
2015,1,sábado,10,14,3000
2015,1,sábado,10,15,3000
2015,1,sábado,10,16,3000
2015,1,sábado,10,17,2700
2015,1,sábado,10,18,2400
2015,1,sábado,10,19,3400
2015,1,sábado,10,20,3500
2015,1,sábado,10,21,3500
2015,1,sábado,10,22,2200
2015,1,sábado,10,23,2000
2015,1,domingo,11,0,2000
2015,1,domingo,11,1,4400
2015,1,domingo,11,2,4400
2015,1,domingo,11,3,4400
2015,1,domingo,11,4,4400
2015,1,domingo,11,5,4400
2015,1,domingo,11,6,4600
2015,1,domingo,11,7,4600
2015,1,domingo,11,8,4600
2015,1,domingo,11,9,3800
2015,1,domingo,11,10,3600
2015,1,domingo,11,11,3900
2015,1,domingo,11,12,3900
2015,1,domingo,11,13,4000
2015,1,domingo,11,14,4100
2015,1,domingo,11,15,4000
2015,1,domingo,11,16,4100
2015,1,domingo,11,17,4100
2015,1,domingo,11,18,4100
2015,1,domingo,11,19,4100
2015,1,domingo,11,20,4100
2015,1,domingo,11,21,4100
2015,1,domingo,11,22,4100
2015,1,domingo,11,23,4100
2015,1,lunes,12,0,4100
2015,1,lunes,12,1,4100
2015,1,lunes,12,2,4100
2015,1,lunes,12,3,4100
2015,1,lunes,12,4,4100
2015,1,lunes,12,5,4100
2015,1,lunes,12,6,4300
2015,1,lunes,12,7,4300
2015,1,lunes,12,8,4300
2015,1,lunes,12,9,4200
2015,1,lunes,12,10,3800
2015,1,lunes,12,11,3800
2015,1,lunes,12,12,3800
2015,1,lunes,12,13,3800
2015,1,lunes,12,14,3800
2015,1,lunes,12,15,3200
2015,1,lunes,12,16,3000
2015,1,lunes,12,17,3000
2015,1,lunes,12,18,3000
2015,1,lunes,12,19,3800
2015,1,lunes,12,20,3800
2015,1,lunes,12,21,3800
2015,1,lunes,12,22,3000
2015,1,lunes,12,23,3000
2015,1,martes,13,0,3000
2015,1,martes,13,1,3000
2015,1,martes,13,2,3000
2015,1,martes,13,3,3000
2015,1,martes,13,4,3300
2015,1,martes,13,5,3400
2015,1,martes,13,6,4000
2015,1,martes,13,7,4000
2015,1,martes,13,8,4000
2015,1,martes,13,9,4000
2015,1,martes,13,10,3600
2015,1,martes,13,11,3600
2015,1,martes,13,12,3600
2015,1,martes,13,13,3600
2015,1,martes,13,14,3400
2015,1,martes,13,15,3000
2015,1,martes,13,16,3000
2015,1,martes,13,17,3100
2015,1,martes,13,18,3700
2015,1,martes,13,19,3700
2015,1,martes,13,20,3700
2015,1,martes,13,21,3700
2015,1,martes,13,22,3700
2015,1,martes,13,23,3700
2015,1,miercoles,14,0,3700
2015,1,miercoles,14,1,3600
2015,1,miercoles,14,2,3400
2015,1,miercoles,14,3,3400
2015,1,miercoles,14,4,3400
2015,1,miercoles,14,5,3400
2015,1,miercoles,14,6,3400
2015,1,miercoles,14,7,2800
2015,1,miercoles,14,8,2800
2015,1,miercoles,14,9,2800
2015,1,miercoles,14,10,2800
2015,1,miercoles,14,11,2800
2015,1,miercoles,14,12,2800
2015,1,miercoles,14,13,2800
2015,1,miercoles,14,14,2800
2015,1,miercoles,14,15,3000
2015,1,miercoles,14,16,3000
2015,1,miercoles,14,17,2600
2015,1,miercoles,14,18,2600
2015,1,miercoles,14,19,3400
2015,1,miercoles,14,20,3400
2015,1,miercoles,14,21,3400
2015,1,miercoles,14,22,2600
2015,1,miercoles,14,23,2600
2015,1,jueves,15,0,2600
2015,1,jueves,15,1,2400
2015,1,jueves,15,2,2400
2015,1,jueves,15,3,2400
2015,1,jueves,15,4,2400
2015,1,jueves,15,5,2400
2015,1,jueves,15,6,3300
2015,1,jueves,15,7,3300
2015,1,jueves,15,8,3300
2015,1,jueves,15,9,3300
2015,1,jueves,15,10,3300
2015,1,jueves,15,11,3300
2015,1,jueves,15,12,2900
2015,1,jueves,15,13,2900
2015,1,jueves,15,14,2900
2015,1,jueves,15,15,2900
2015,1,jueves,15,16,2900
2015,1,jueves,15,17,2800
2015,1,jueves,15,18,2800
2015,1,jueves,15,19,3200
2015,1,jueves,15,20,3200
2015,1,jueves,15,21,3200
2015,1,jueves,15,22,2600
2015,1,jueves,15,23,2600
2015,1,viernes,16,0,2600
2015,1,viernes,16,1,2600
2015,1,viernes,16,2,2600
2015,1,viernes,16,3,2600
2015,1,viernes,16,4,2600
2015,1,viernes,16,5,2600
2015,1,viernes,16,6,2200
2015,1,viernes,16,7,2200
2015,1,viernes,16,8,2200
2015,1,viernes,16,9,2200
2015,1,viernes,16,10,2600
2015,1,viernes,16,11,2600
2015,1,viernes,16,12,2800
2015,1,viernes,16,13,2800
2015,1,viernes,16,14,2800
2015,1,viernes,16,15,3000
2015,1,viernes,16,16,3000
2015,1,viernes,16,17,2600
2015,1,viernes,16,18,2600
2015,1,viernes,16,19,2800
2015,1,viernes,16,20,2800
2015,1,viernes,16,21,2800
2015,1,viernes,16,22,2700
