,0
0,0.45833333333333337
1,0.45833333333333337
2,0.45833333333333337
3,0.4791666666666667
4,0.4166666666666667
5,0.5208333333333334
6,0.5208333333333334
7,0.5625
8,0.5625
9,0.5625
10,0.5625
11,0.5625
12,0.4166666666666667
13,0.4166666666666667
14,0.4166666666666667
15,0.4166666666666667
16,0.4166666666666667
17,0.4166666666666667
18,0.4791666666666667
19,0.5208333333333334
20,0.45833333333333337
21,0.45833333333333337
22,0.4791666666666667
23,0.4791666666666667
24,0.4791666666666667
25,0.4791666666666667
26,0.625
27,0.75
28,0.75
29,0.75
30,0.6666666666666667
31,0.8333333333333334
32,0.8333333333333334
33,0.7083333333333334
34,0.5416666666666667
35,0.5416666666666667
36,0.5416666666666667
37,0.5416666666666667
38,0.5416666666666667
39,0.5416666666666667
40,0.5416666666666667
41,0.5416666666666667
42,0.7083333333333334
43,0.7083333333333334
44,0.7083333333333334
45,0.6666666666666667
46,0.5208333333333334
47,0.5416666666666667
48,0.5416666666666667
49,0.625
50,0.7083333333333334
51,0.7083333333333334
52,0.5
53,0.5
54,0.625
55,0.7083333333333334
56,0.7083333333333334
57,0.7083333333333334
58,0.5416666666666667
59,0.5416666666666667
60,0.5416666666666667
61,0.5416666666666667
62,0.5416666666666667
63,0.5416666666666667
64,0.5416666666666667
65,0.5416666666666667
66,0.5416666666666667
67,0.7083333333333334
68,0.7083333333333334
69,0.7291666666666667
70,0.375
71,0.39583333333333337
72,0.375
73,0.375
74,0.375
75,0.4166666666666667
76,0.43750000000000006
77,0.43750000000000006
78,0.43750000000000006
79,0.625
80,0.625
81,0.625
82,0.625
83,0.625
84,0.5833333333333334
85,0.4166666666666667
86,0.4166666666666667
87,0.4166666666666667
88,0.4166666666666667
89,0.4166666666666667
90,0.6666666666666667
91,0.6666666666666667
92,0.7291666666666667
93,0.5833333333333334
94,0.4166666666666667
95,0.4166666666666667
96,0.4166666666666667
97,0.4166666666666667
98,0.39583333333333337
99,0.39583333333333337
100,0.4166666666666667
101,0.5
102,0.5
103,0.6458333333333334
104,0.6458333333333334
105,0.6458333333333334
106,0.5
107,0.5
108,0.45833333333333337
109,0.4791666666666667
110,0.4791666666666667
111,0.4791666666666667
112,0.4791666666666667
113,0.4791666666666667
114,0.6666666666666667
115,0.6875
116,0.7916666666666667
117,0.8541666666666667
118,0.375
119,0.375
120,0.375
121,0.39583333333333337
122,0.5
123,0.6875
124,0.6458333333333334
125,0.5
126,0.5
127,0.6666666666666667
128,0.6666666666666667
129,0.6666666666666667
130,0.45833333333333337
131,0.45833333333333337
132,0.45833333333333337
133,0.45833333333333337
134,0.45833333333333337
135,0.45833333333333337
136,0.45833333333333337
137,0.45833333333333337
138,0.5416666666666667
139,0.5833333333333334
140,0.5625
141,0.4166666666666667
142,0.4166666666666667
143,0.4166666666666667
144,0.7291666666666667
145,0.7916666666666667
146,0.7916666666666667
147,0.8333333333333334
148,0.7916666666666667
149,0.7916666666666667
150,0.7916666666666667
151,0.8750000000000001
152,0.8750000000000001
153,0.8750000000000001
154,0.8750000000000001
155,0.8750000000000001
156,0.8750000000000001
157,0.5208333333333334
158,0.5208333333333334
159,0.5208333333333334
160,0.5208333333333334
161,0.5208333333333334
162,0.5208333333333334
163,0.5208333333333334
164,0.5208333333333334
165,0.43750000000000006
166,0.43750000000000006
167,0.43750000000000006
168,0.45833333333333337
169,0.625
170,0.625
171,0.625
172,0.625
173,0.5625
174,0.5
175,0.7083333333333334
176,0.7291666666666667
177,0.7291666666666667
178,0.45833333333333337
179,0.4166666666666667
180,0.4166666666666667
181,0.9166666666666667
182,0.9166666666666667
183,0.9166666666666667
184,0.9166666666666667
185,0.9166666666666667
186,0.9583333333333334
187,0.9583333333333334
188,0.9583333333333334
189,0.7916666666666667
190,0.75
191,0.8125
192,0.8125
193,0.8333333333333334
194,0.8541666666666667
195,0.8333333333333334
196,0.8541666666666667
197,0.8541666666666667
198,0.8541666666666667
199,0.8541666666666667
200,0.8541666666666667
201,0.8541666666666667
202,0.8541666666666667
203,0.8541666666666667
204,0.8541666666666667
205,0.8541666666666667
206,0.8541666666666667
207,0.8541666666666667
208,0.8541666666666667
209,0.8541666666666667
210,0.8958333333333334
211,0.8958333333333334
212,0.8958333333333334
213,0.8750000000000001
214,0.7916666666666667
215,0.7916666666666667
216,0.7916666666666667
217,0.7916666666666667
218,0.7916666666666667
219,0.6666666666666667
220,0.625
221,0.625
222,0.625
223,0.7916666666666667
224,0.7916666666666667
225,0.7916666666666667
226,0.625
227,0.625
228,0.625
229,0.625
230,0.625
231,0.625
232,0.6875
233,0.7083333333333334
234,0.8333333333333334
235,0.8333333333333334
236,0.8333333333333334
237,0.8333333333333334
238,0.75
239,0.75
240,0.75
241,0.75
242,0.7083333333333334
243,0.625
244,0.625
245,0.6458333333333334
246,0.7708333333333334
247,0.7708333333333334
248,0.7708333333333334
249,0.7708333333333334
250,0.7708333333333334
251,0.7708333333333334
252,0.7708333333333334
253,0.75
254,0.7083333333333334
255,0.7083333333333334
256,0.7083333333333334
257,0.7083333333333334
258,0.7083333333333334
259,0.5833333333333334
260,0.5833333333333334
261,0.5833333333333334
262,0.5833333333333334
263,0.5833333333333334
264,0.5833333333333334
265,0.5833333333333334
266,0.5833333333333334
267,0.625
268,0.625
269,0.5416666666666667
270,0.5416666666666667
271,0.7083333333333334
272,0.7083333333333334
273,0.7083333333333334
274,0.5416666666666667
275,0.5416666666666667
276,0.5416666666666667
277,0.5
278,0.5
279,0.5
280,0.5
281,0.5
282,0.6875
283,0.6875
284,0.6875
285,0.6875
286,0.6875
287,0.6875
288,0.6041666666666667
289,0.6041666666666667
290,0.6041666666666667
291,0.6041666666666667
292,0.6041666666666667
293,0.5833333333333334
294,0.5833333333333334
295,0.6666666666666667
296,0.6666666666666667
297,0.6666666666666667
298,0.5416666666666667
299,0.5416666666666667
300,0.5416666666666667
301,0.5416666666666667
302,0.5416666666666667
303,0.5416666666666667
304,0.5416666666666667
305,0.5416666666666667
306,0.45833333333333337
307,0.45833333333333337
308,0.45833333333333337
309,0.45833333333333337
310,0.5416666666666667
311,0.5416666666666667
312,0.5833333333333334
313,0.5833333333333334
314,0.5833333333333334
315,0.625
316,0.625
317,0.5416666666666667
318,0.5416666666666667
319,0.5833333333333334
320,0.5833333333333334
321,0.5833333333333334
322,0.5625
323,0.5416666666666667
324,0.45833333333333337
325,0.45833333333333337
326,0.45833333333333337
327,0.45833333333333337
328,0.45833333333333337
329,0.45833333333333337
330,0.45833333333333337
331,0.45833333333333337
332,0.45833333333333337
333,0.45833333333333337
334,0.45833333333333337
335,0.5833333333333334
336,0.5833333333333334
337,0.5833333333333334
338,0.5833333333333334
339,0.5833333333333334
340,0.6041666666666667
341,0.6041666666666667
342,0.6875
343,0.7083333333333334
344,0.7083333333333334
345,0.7083333333333334
346,0.7083333333333334
347,0.7083333333333334
348,0.7083333333333334
349,0.7291666666666667
350,0.7291666666666667
351,0.75
352,0.75
353,0.7916666666666667
354,0.7916666666666667
355,0.8541666666666667
356,0.8541666666666667
357,0.8541666666666667
358,0.8750000000000001
359,0.9166666666666667
360,0.9166666666666667
361,0.9166666666666667
362,0.9166666666666667
363,0.9166666666666667
364,0.8750000000000001
365,0.9583333333333334
366,0.9166666666666667
367,0.9583333333333334
368,0.9583333333333334
369,0.9583333333333334
370,0.8958333333333334
371,0.7708333333333334
372,0.75
373,0.75
374,0.75
375,0.75
376,0.75
377,0.75
378,0.8125
379,0.8333333333333334
380,0.8333333333333334
381,0.8958333333333334
382,0.8958333333333334
383,0.8958333333333334
